variavel,importancia
tracado_via_Aclive;Viaduto,2.4867141109443125e-05
tracado_via_Curva;Declive;Rotatória;Interseção de Vias,2.4800659280624064e-05
tracado_via_Retorno Regulamentado;Declive;Reta,2.4574493361801298e-05
tracado_via_Retorno Regulamentado;Reta;Declive,2.3848206691118935e-05
tracado_via_Interseção de Vias;Reta;Aclive,2.3804750754280078e-05
tracado_via_Viaduto;Interseção de Vias;Reta,2.3783617558780243e-05
tracado_via_Desvio Temporário;Reta;Aclive,2.3537689759342293e-05
tracado_via_Em Obras;Reta;Interseção de Vias,2.325580939318327e-05
tracado_via_Aclive;Ponte;Curva;Viaduto,2.1782733763756914e-05
tracado_via_Curva;Rotatória;Declive,2.177489010654964e-05
tracado_via_Declive;Reta;Retorno Regulamentado,2.14725077867289e-05
tracado_via_Declive;Ponte,2.0936368579727903e-05
tracado_via_Viaduto;Reta;Declive,2.0360672945920134e-05
tracado_via_Reta;Aclive;Retorno Regulamentado,2.032903297755248e-05
tracado_via_Ponte;Declive;Reta,1.9738598155459764e-05
tracado_via_Declive;Ponte;Curva,1.862923575344051e-05
tracado_via_Curva;Declive;Interseção de Vias;Viaduto,1.8245279172436944e-05
tracado_via_Rotatória;Desvio Temporário,1.8193069348533165e-05
tracado_via_Viaduto;Reta;Retorno Regulamentado;Interseção de Vias,1.8133070060516654e-05
tracado_via_Retorno Regulamentado;Aclive,1.8069266074530107e-05
tracado_via_Desvio Temporário;Em Obras;Reta,1.7983811724597044e-05
tracado_via_Declive;Viaduto;Retorno Regulamentado,1.794167360927549e-05
tracado_via_Viaduto;Aclive,1.787765623145458e-05
tracado_via_Interseção de Vias;Viaduto;Reta,1.7721865847756186e-05
tracado_via_Interseção de Vias;Rotatória;Viaduto,1.7148297080355286e-05
tracado_via_Declive;Curva;Desvio Temporário,1.6756337746144556e-05
tracado_via_Interseção de Vias;Reta;Em Obras,1.657116672334481e-05
tracado_via_Reta;Desvio Temporário;Aclive,1.623429935452417e-05
tracado_via_Reta;Viaduto;Interseção de Vias,1.5598844329759634e-05
tracado_via_Curva;Rotatória;Em Obras,1.552076843347727e-05
tracado_via_Túnel;Reta,1.5433620158791504e-05
tracado_via_Reta;Interseção de Vias;Declive;Retorno Regulamentado,1.5433374841032463e-05
tracado_via_Declive;Em Obras;Desvio Temporário,1.5146841599272967e-05
tracado_via_Retorno Regulamentado;Reta;Declive;Interseção de Vias,1.504746219484555e-05
tracado_via_Reta;Retorno Regulamentado;Em Obras,1.4942256765217776e-05
tracado_via_Aclive;Ponte,1.4770268949826025e-05
tracado_via_Curva;Aclive;Rotatória,1.4444435879208726e-05
tracado_via_Reta;Retorno Regulamentado;Rotatória,1.4283208755193325e-05
tracado_via_Curva;Em Obras;Desvio Temporário,1.4259754354546881e-05
tracado_via_Retorno Regulamentado;Interseção de Vias;Rotatória,1.3911099102091043e-05
tracado_via_Reta;Rotatória;Retorno Regulamentado,1.3906093118781744e-05
tracado_via_Desvio Temporário;Reta,1.3836501099086134e-05
tracado_via_Desvio Temporário;Em Obras;Curva,1.3707865477084119e-05
tracado_via_Viaduto;Rotatória,1.3698735937430928e-05
tracado_via_Curva;Interseção de Vias;Aclive,1.366949354498016e-05
tracado_via_Interseção de Vias;Rotatória;Reta;Viaduto;Retorno Regulamentado,1.3621435331360028e-05
tracado_via_Retorno Regulamentado;Reta;Aclive,1.358496752492362e-05
tracado_via_Em Obras;Interseção de Vias;Aclive,1.3481267088342068e-05
tracado_via_Em Obras;Aclive,1.3264098779416853e-05
tracado_via_Viaduto;Curva;Aclive,1.3143267985181073e-05
tracado_via_Retorno Regulamentado;Curva;Viaduto,1.3020374462748784e-05
tracado_via_Desvio Temporário;Rotatória;Em Obras,1.286631016299381e-05
tracado_via_Viaduto;Rotatória;Interseção de Vias,1.275874350604064e-05
tracado_via_Curva;Interseção de Vias;Rotatória;Em Obras;Declive,1.2743594039044119e-05
tracado_via_Curva;Aclive;Retorno Regulamentado,1.2631946629215902e-05
tracado_via_Interseção de Vias;Rotatória;Declive,1.2320358978880456e-05
tracado_via_Declive;Desvio Temporário,1.2280388716501562e-05
tracado_via_Em Obras;Aclive;Curva,1.2220656316914678e-05
tracado_via_Declive;Em Obras;Viaduto,1.2213858333912492e-05
tracado_via_Declive;Viaduto;Reta,1.2164516217037873e-05
tracado_via_Em Obras;Interseção de Vias,1.2106199982091912e-05
tracado_via_Declive;Rotatória;Retorno Regulamentado,1.2013145360786083e-05
tracado_via_Aclive;Retorno Regulamentado,1.1845372766812488e-05
tracado_via_Reta;Ponte;Interseção de Vias;Viaduto,1.1810510016389477e-05
tracado_via_Curva;Declive;Retorno Regulamentado;Viaduto,1.1763633710384173e-05
condicao_metereologica_Granizo,1.1761205632335873e-05
tracado_via_Declive;Curva;Em Obras;Desvio Temporário;Ponte,1.1749015130193922e-05
tracado_via_Interseção de Vias;Rotatória;Retorno Regulamentado,1.1292870006772069e-05
tracado_via_Em Obras;Declive;Curva;Desvio Temporário,1.1173202167273405e-05
tracado_via_Curva;Ponte;Aclive,1.101306724780193e-05
tracado_via_Reta;Retorno Regulamentado;Declive,1.0971009475852415e-05
tracado_via_Rotatória;Reta;Viaduto,1.0771474893394404e-05
tracado_via_Viaduto;Declive;Reta,1.0484988313426857e-05
tracado_via_Reta;Rotatória;Em Obras,1.0461784726703545e-05
tracado_via_Retorno Regulamentado;Viaduto,1.0457302762762374e-05
tracado_via_Declive;Interseção de Vias;Rotatória;Reta,1.009827197687744e-05
tracado_via_Reta;Declive;Interseção de Vias;Retorno Regulamentado,9.958262393557615e-06
tracado_via_Rotatória;Reta;Declive,9.583580152766876e-06
tracado_via_Em Obras;Viaduto;Reta,9.575732951241388e-06
tracado_via_Viaduto;Retorno Regulamentado;Curva,9.3096424373511e-06
tracado_via_Interseção de Vias;Aclive;Retorno Regulamentado,9.032904491582278e-06
tracado_via_Viaduto;Curva;Rotatória,8.77422872160201e-06
tracado_via_Em Obras;Retorno Regulamentado,8.764895156370062e-06
tracado_via_Viaduto;Declive;Curva,8.621971702279178e-06
tracado_via_Reta;Aclive;Ponte,8.483160362158382e-06
tracado_via_Curva;Retorno Regulamentado;Declive,8.481228358162599e-06
tracado_via_Aclive;Reta;Ponte,8.38380756425062e-06
